7an	tujuan
dititipin	dititipkan
ditungguin	ditunggu
diuber	dikejar
dket	dekat
dkit	sedikit
dkk	dan kawan-kawan
dkt	dekat
dl	dulu
dll	dan lain-lain
dlm	dalam
dlu	dulu
dm	direct message
dmkah	kirim pesan kah
dmn	dimana
dngn	dengan
doain	doakan
doang	saja
dodol	bodoh
doi	dia
doku	uang
dom	domisili
dongg	dong
donggg	dong
don juan	playboy
dongs	dong
donlot	unduh
doongg	dong
dpet	dapat
dpt	dapat
dr	dari
dri	dari
drmana	darimana
drmn	darimana
drpd	daripada
drtd	dari tadi
drtadi	dari tadi
dsb	dan sebagainya
dsini	di sini
dst	dan seterusnya
dstu	disitu
dtg	datang
dugem	dunia gemerlap
duh	aduh
duid	uang
duit	uang
duitnya	uangnya
duluan	dahulu
duluya	dulu ya
dunno	don't know
dupe	tiruan
duren	durian
dy	dia
ecom	ecommerce
ed	edisi
edan	gila
edu	edukasi
edyan	gila
egak	tidak
egp	emang gue pikirin
eike	aku
eke	aku
ekeu	aku
ello	halo
elo	kamu
elu	kamu
eluuuuu	kamu
emang	memang
emangnya	memangnya
emg	memang
emng	memang
emte	makan teman
enakeun	enak
enakeunnnn	enak
endak	tidak
eneg	muak
engagementnya	engagement nya
engga	tidak
enggak	tidak
entar	nanti
envy	iri
etc	dan lain-lain
ex	mantan
ext	extension
faham	paham
fak	fuck
fakw	fake
falbackk	follow back
fallaw	follow
fav	favorit
fax	facsimile
fb	facebook
fifo	first in first out
fikir	pikir
finek	finansial ekonomi
fllw	follow
folbek	follow back
foll	follow
folls	followers
freelancerupwork	freelancer upwork
fwd	diterukan
fyi	sebagai informasi
ga	tidak
gaa	tidak
gaaa	tidak
gaak	tidak
gada	tidak ada
gaada	tidak ada
gaasik	tidak menyenangkan
gabakal	tidak bakal
gabanyak	tidak banyak
gabikin	tidak membuat
gabisa	tidak bisa
gabisaaa	tidak bisa
gaboleh	tidak boleh
gabut	tidak ada aktivitas
gabutan	mengisi waktu luang
gacor	keren
gada	tidak ada
gadapet	tidak mendapat
gag	tidak
gahar	sangar
gaharus	tidak harus
gais	teman-teman
gaisaa	tidak bisa
gaiss	teman-teman
gaisss	teman-teman
gaje	tidak jelas
gajelas	tidak jelas
gak	tidak
gakepagang	tidak terpegang
gakla	juga lah
gak papa	tidak apa-apa
gakseru	tidak menyenangkan
gaksih	tidak sih
gamau	tidak mau
gamenya	permainannya
gamuncul	tidak muncul
gan	juragan
ganemu	tidak ketemu
gangerti	tidak mengerti
ganyaman	tidak nyaman
gapapa	tidak apa-apa
gapapaa	tidak apa-apa
gaperlu	tidak perlu
gapernah	tidak pernah
gaptek	gagap teknologi
garagara	gara-gara
garukan	penggaruk
gasi	tidak sih
gasihh	tidak sih
gaspol	tancap gas
gaskeun	lanjutkan
gasskeunn	lanjutkan
gasss	lanjutkan
gasuka	tidak suka
gatel	gatal
gatau	tidak tahu
gatek	gagap teknologi
gatot	gagal total
gausa	tidak usah
gausah	tidak usah
gawe	kerja
gax	tidak
gays	teman-teman
gbs	tidak bisa
gda	tidak ada uang
gdm	grup pesan langsung
gebetan	orang yang disuka
gedi	besar
geer	gede rasa
gegara	gara-gara
geje	tidak jelas
gelembungbubble	gelembung bubble
gelo	gila
gemach	gemas
gemasss	gemas
gembungg	gembung
gemec	gemas
gemecccc	gemas
gemes	gemas
gemesh	gemas
gemeshhhhh	gemas
gemess	gemas
gemeesss	gemas
gemoy	menggemaskan
gemoyy	menggemaskan
gemoyyy	menggemaskan
gemp	gempa
gempnya	gempanya
gemus	gemas
gemuy	gemas
gepeng	gelandangan dan pengemis
gercep	gerak cepat
ges	teman-teman
getol	gigih
gada	tidak ada
gf	girlfriend
ggada	tidak ada
ghiey	lagi
ghiy	lagi
gi	lagi
gile	gila
gimama	bagaimana
giman	gigi mancung
gimana	bagaimana
gimmick	gimik
gini	begini
ginian	begini
ginii	begini
gino	gigi nongol
girlskalian	girls kalian
gitchu	gitu
githu	gitu
gitu	begitu
gituan	begituan
gituu	begitu
gj	tidak jelas
gk	tidak
gkjd	tidak jadi
gmana	bagaimana
gmbr	gambar
gmn	bagaimana
gmna	bagaimana
gn	begini
gnti	ganti
goblog	goblok
goblok	bodoh
gokil	gila
golput	golongan putih
gomawo	terima kasih
gombal	suka merayu
gontaganti	gonta-ganti
gowes	mengayuh sepeda
gpl	tidak pakai lama
gpny	tidak punya
gpp	tidak apa-apa
gprnh	tidak pernah
gr	gram
grgr	gara-gara
greget	gereget
gretong	gratis
gretongan	gratisan
grub	grup
gt	begitu
gtau	tidak tahu
gtu	begitu
gtw	tidak tahu
gua	saya
guaa	saya
guasih	saya sih
gue	saya
guis	teman-teman
gugel	google
gumuss	gemas
guoblok	goblok
guys	teman-teman
guyss	teman-teman
guysss	teman-teman
guyyss	teman-teman
gw	saya
gweh	saya
gwehj	saya
gwejh	saya
gws	cepat sembuh
ha	tertawa
haai	hai
habistu	setelah itu
hadehhh	aduh
hadeuhhh	aduh
haghaghag	tertawa
haha	tertawa
hahah	tertawa
hahaha	tertawa
hahahaha	tertawa
hahhahha	tertawa
haihaiii	halo
haii	hai
haiidd	haid
haiiii	hai
hakhak	tertawa
hallal	halal
hallooo	halo
hallow	halo
hallowww	halo
haloo	halo
halooo	halo
haloow	halo
handak	bahan peledak
hankam	pertahanan dan keamanan
hansip	pertahanan sipil
hape	handphone
harini	hari ini
haritu	hari itu
hasilin	menghasilkan
hasilny	hasilnya
hasilnyaa	hasilnya
hasilpositif	hasil positif
hastag	hashtag
hatihati	hati-hati
hatti	hati
hay	hai
hayuk	ayo
hayuuuu	ayo
hb	habis
hbs	habis
heartsignal	heart signal
hedon	hedonisme
heelppp	tolong
helpp	tolong
helppp	help
hehe	he
hellooo	halo
hellow	halo
helloww	halo
hellowww	halo
helo	halo
heloo	halo
helow	halo
hesteg	hashtag
hewwo	halo
hey	hai
heyyy	hai
hi	hai
hihi	tertawa
hihihi	tertawa
hii	hai
hiii	hai
hiiii	hai
hiiiii	hai
hiks	sedih
hlm	halaman
hlng	hilang
hlo	halo
hmu	hit me up
hny	hanya
hnya	hanya
hoax	isu bohong
hola	halo
houm	rumah
hr	hari
hrs	harus
hrus	harus
ht	hashtag
hubad	hubungan angkatan darat
hubdar	perhubungan darat
hubla	perhubungan laut
hubungin	menghubungkan
huff	mengeluh
huft	mengeluh
huhu	sedih
hulaa	halo
hum	rumah
humas	hubungan masyarakat
humz	rumah
iaitu	yaitu
idk	saya tidak tahu
idunno	i don't know
idup	hidup
ig	instagram
igku	instagramku
ignya	instagramnya
ijo	hijau
ikutin	mengikuti
ikutinn	mengikuti
ilang	hilang
ilangin	hilangkan
ilfeel	tidak suka
ilfil	tidak suka
imba	jago sekali
imho	in my humble opinion
imo	in my opinion
imoet	imut
imoetz	imut
incomenya	pendapatannya
indisit	indosat
indo	indonesia
info	informasi
infoin	menginformasikan
inih	ini
inii	ini
iniiii	ini
iniyukkk	ini ayo
inter	internasional
irt	ibu rumah tangga
issa	it's a
isiny	isinya
item	hitam
itung	hitung
itungan	hitungan
ituu	itu
ituuu	itu
iy	iya
iye	iya
iyo	iya
ja	saja
jaa	saja
jablay	jarang dibelai
jadiin	jadikan
jadul	jaman dulu
jaim	jaga image
jajaaannnnn	jajan
jajannnn	jajan
jalanjalan	jalan-jalan
jancuk	anjing
jangannn	jangan
jann	jangan
janogos	januari agustus
jastag	jasa tag
jastip	jasa titip
jaswar	jasa rebutan
jatohnya	jatuhnya
jayus	tidak lucu
jbjb	join bareng
jd	jadi
jdi	jadi
jdii	jadi
jdikan	jadikan
je	saja
jela	sajalah
jelasin	menjelaskan
jem	jam
jembreng	buka lebar
jepitikat	jepit ikat
jfb	janji follow back
jg	juga
jga	juga
jgn	jangan
jgnkan	jangankan
jijay	jijik
jir	anjing
jka	jika
jkt	jakarta
jlek	jelek
jln	jalan
jmlh	jumlah
jngan	jangan
jnj	janji
joinin	gabungkan
jomblo	tidak punya pacar
jth	jatuh
jualanshopee	jualan shopee
jualin	menjual
jubir	juru bicara
judol	judi online
jugaaa	juga
jugaaaa	juga
jugak	juga
julid	nyinyir
jurdil	jujur adil
jutek	galak
jwb	jawab
jwban	jawaban
k	ke
ka	kakak
kaah	kah
kaak	kakak
kaan	kan
kab	kabupaten
kabag	kepala bagian
kabor	kabur
kacian	kasihan
kacrut	kacau
kadit	kepala direktorat
kadiv	kepala divisi
kadoin	memberi hadiah
kadooo	kado
kaga	tidak
kahh	kah
kagak	tidak
kaka	kakak
kakanya	kakaknya
kalean	kalian
kalo	kalau
kalo	kalau
kampret	sialan
kamtib	keamanan dan ketertiban
kamtibmas	keamanan dan ketertiban masyarakat
kamuh	kamu
kamuwh	kamu
kamyu	kamu
kang	kakak laki-laki
kannn	kan
kanwil	kantor wilayah
kapt	kapten
karna	karena
kasat	kepala satuan
kasi	beri
kasian	kasihan
kasubbag	kepala subbagian
kasubbid	kepala subbidang
kat	di
katakata	kata-kata
kating	kakak tingkat
katrok	kampungan
kau	kamu
kaw	kamu
kawai	imut
kawaii	imut
kawaiiii	imut
kayanya	kayaknya
kbar	kabar
kbr	kabar
kcian	kasihan
kdg	kadang
kdu	harus
kea	kayak
kebaca	terbaca
kebanned	dilarang
keburu	terlanjur
kec	kecamatan
kece	keren
kecee	keren
kecik	kecil
kedekut	pelit
kedubes	kedutaan besar
keitung	terhitung
keje	kerja
kejurnas	kejuaraan nasional
kek	seperti
kekeuh	keras kepala
keknya	kayaknya
kel	kelurahan
kelar	selesai
keliatan	kelihatan
kelilink	keliling
keluarin	mengeluarkan
kemanamana	kemana-mana
kemaren	kemarin
kenalin	kenalkan
kenapaa	kenapa
kendor	kendur
keneh	masih
kepake	terpakai
kepengen	mau
kepikiran	terpikirkan
kepingin	mau
kepo	mau tahu urusan orang
kepoin	mencari tahu
kepotong	terpotong
kepsek	kepala sekolah
kerana	karena
keranjangin	masukkan ke keranjang
kere	tidak punya uang
keringetan	berkeringat
kerjaanfreelance	pekerjaan freelance
kerjakuliahhangout	kerja kuliah hangout
kerjaside	kerja sampingan
kerje	kerja
kesbang	kesatuan bangsa
kesel	kesal
kesian	kasihan
kesini	ke sini
kesra	kesejahteraan rakyat
kesuspend	tertangguh
ketauan	ketahuan
ketce	keren
ketrangan	keterangan
ketrima	diterima
keukeuh	keras kepala
kget	kaget
kgiatan	kegiatan
kgk	tidak
khabar	kabar
khan	kan
kibul	bohong
kibus	kaki busuk
kiloann	kiloan
kimpoi	kawin
kipop	kpop
kirain	kiranya
kirakira	kira-kira
kirimin	mengirimkan
kitaa	kita
kiyowo	menggemaskan
kiyowoo	menggemaskan
kk	kakak
kka	kakak
kl	kalau
klean	kalian
klenn	kalian
klian	kalian
klianz	kalian
klo	kalau
kloter	kelompok terbang
kluarga	keluarga
klw	kalau
klwrga	keluarga
km	kamu
kmn	kemana
kmaren	kemarin
kmari	kemari
kmps	kampus
kmpus	kampus
kmrn	kemarin
kmu	kamu
kn	kan
knal	kenal
kndala	kendala
knl	kenal
knp	kenapa
knpa	kenapa
kntl	alat kelamin pria
kntol	alat kelamin pria
ko	kenapa
kobisa	bagaimana bisa
kodya	kota madya
kodontodol	alat kelamin pria
kog	kok
koinn	koin
kokk	kok
komdis	komisi disiplin
komen	komentar
komenan	komentar
komenin	mengomentari
komentarin	mengomentari
komis	komisi
komisen	komisi
komisiny	komisinya
komisyen	komisi
kompi	komputer
komsov	komunis sovyet
komtiong	komunis Tiongkok
komunikasiny	komunikasinya
kondangan	undangan
konek	tersambung
konekin	menyambungkan
kongkow	kumpul bareng teman-teman
konjen	konsulat jenderal
konsepin	konsepkan
kontenpraktis	konten praktis
kopdar	kopi darat
koq	kok
korang	kalian
korup	korupsi
kot	sepertinya
kpd	kepada
kperluan	keperluan
kpn	kapan
kptsan	keputusan
krenz	keren
krg	kurang
krik	garing
kripik	keripik
krm	kirim
krn	karena
krna	karena
krudung	kerudung
kt	kita
ktauan	ketahuan
ktmu	ketemu
ktny	katanya
ktr	kantor
kubeli	aku beli
kudu	harus
kumpulin	kumpulkan
kuncikeychain	kunci keychain
kupake	aku pakai
kuper	kurang pergaulan
kupukupu	kupu-kupu
kuq	kok
kurleb	kurang lebih
kuu	aku
kuy	ayo
kuyy	ayo
kuyyy	ayo
kw	imitasi
ky	seperti
kya	kayak
kyeopta	lucu
kyk	seperti
kykny	kayaknya
kyknya	kayaknya
kyuuut	imut
la	lah
laa	lah
laamaksudnya	lah maksudnya
lagiii	lagi
laka	kecelakaan
lakuin	melakukan
lakilaki	laki-laki
lali	lupa
lam	salam
lamaaaa	lama
lamalama	lama-lama
lambreta	lambat
lamp	lampiran
lansia	lanjut usia
lansung	langsung
lanud	landasan udara
lapas	lembaga pemasyarakatan
laprak	laporan praktik
latgab	latihan gabungan
lbur	libur
ldr	long distance reletionship
lebay	berlebihan
lebi	lebih
leh	boleh
leh	boleh
lekong	laki-laki
lelet	lambat
lemot	lambat
lengkapin	melengkapi
lepasni	setelah ini
lepastu	setelah itu
letsgooo	let's go
lg	lagi
lgi	lagi
lgkp	lengkap
lgsg	langsung
lhooooo	loh
lht	lihat
liat	lihat
liatnya	melihatnya
likecomment	like comment
likee	like
likert	like rt
linklink	link
linkproduk	link produk
linktwit	link twitter
linmas	perlindungan masyarakat
litbang	penelitian dan pengembangan
livenahh	live nah
livestrean	livestream
liveyuk	live yuk
lmao	laughing my ass off
lmyan	lumayan
lmyn	lumayan
ln	luar negeri
lngkp	lengkap
lngsung	langsung
lo	kamu
loch	loh
loe	kamu
logik	logika
logoutlogin	logout login
lojik	logis
loker	lowongan kerja
lol	tertawa
lola	lambat berfikir
lom	belum
looh	loh
louph	cinta
loupz	cinta
low	kalau
lowh	kamu
lp	lupa
lps	lepas
lsg	langsung
lu	kamu
luamayan	lumayan
luangin	meluangkan
luber	langsung, umum, bebas, dan rahasia
luchu	lucu
luchuw	lucu
luckkkk	luck
lucukk	lucu
lucututorialsketsadll	lucu tutorial sketsa dan lain-lain
lucuu	lucu
lucuuu	lucu
luff	cinta
lum	belum
lumutan	tua
lupaa	lupa
luph	cinta
lutcueee	lucu
luthu	lucu
lvl	level
lw	kamu
lwat	lewat
lwn	lawan
lwt	lewat
maaciii	terima kasih
maacih	terima kasih
maaciw	terima kasih
maba	mahasiswa baru
mabal	bolos
mabes	markas besar
macammacam	macam-macam
macamana	bagaimana
macamni	macam ini
macem	macam
macem-macem	macam-macam
macih	masih
madesu	masa depan suram
maem	makan
maen	main
magabut	makan gaji buta
mager	malas gerak
mahalmahal	mahal-mahal
mahatma	maju sehat bersama
maho	homo
maininnya	memainkannya
mainkerjangampusngedate	main kerja kuliah kencan
mak	ibu
make	pakai
mak jang	kaget
makasi	terima kasih
makasih	terima kasih
makasii	terima kasih
makasiii	terima kasih
makasiiihh	terima kasih
makasiiiih	terima kasih
makasihhh	terima kasih
makenya	memakai
maksain	memaksa
malah	bahkan
malem	malam
maleman	malam
males	malas
mallshopee	mall shopee
malming	malam minggu
malu2in	memalukan
mam	makan
mamz	makan
manaa	mana
manamana	mana-mana
mandiii	mandi
maneh	kamu
manfaatin	memanfaatkan
mangtep	mantap
manies	manis
maniez	manis
manifesting	manifestasi
manifestinggg	manifestasi
manteman	teman-teman
mantep	mantap
mantul	mantap betul
mao	mau
mariii	mari
markicob	mari kita coba
markus	makelar kasus
masakmemasak	masak memasak
masi	masih
masukin	masukkan
masukkin	masukkan
matiin	mematikan
mauu	mau
mauuu	mau
maw	mau
mayan	lumayan
mba	mbak
mbaak	mbak
mbamba	mbak-mbak
mbakmbak	mbak-mbak
mbankingqris	mbanking qris
mcam	macam
mcm	macam
mcmana	bagaimana
medsos	media sosial
melembabkan	melembapkan
melu	ikut
membagongkan	membingungkan
membernya	anggotanya
memblok	memblokir
menangin	memenangkan
mencet	pencet
mending	lebih baik
menfess	pesan anonim
menuhin	memenuhi
mepet	dekat sekali
mesej	pesan
mevahhhhh	mewah
mfs	pesan anonim
mgkn	mungkin
mgu	minggu
mhn	mohon
migas	minyak dan gas bumi
miker	minuman keras
mikir	berpikir
mikol	minuman beralkohol
milih	memilih
milis	mailing list
minimalisbedside	minimalis bedside
minjem	meminjam
mintain	meminta
mintak	minta
miras	minuman keras
misuh	memaki
mjb	maaf join bareng
mka	maka
mkanya	makanya
mkin	makin
mksd	maksud
mksii	terima kasih
mlah	malah
mlihat	melihat
mls	malas
mmcm	maca
mmg	memang
mmin	admin
mmng	memang
mn	mana
mndiri	mandiri
mngkn	mungkin
mnt	minta
